step,key,operations,nanos
319,491605,10,6400
320,676800,4,7400
321,905387,6,5100
322,545005,9,6000
323,650494,10,18800
324,247509,8,16700
325,818688,5,4200
326,891518,8,11000
327,542629,9,8400
328,206781,7,4000
329,705986,7,6600
330,560302,6,3800
331,841248,7,4000
332,953593,5,3300
333,584741,8,3900
334,69137,17,16600
335,975036,5,7600
336,19696,10,3800
337,893857,7,10200
338,750953,7,3600
339,220771,9,3900
340,625386,4,3100
341,539109,8,7800
342,487794,5,3000
343,746007,2,3100
344,182056,8,10600
345,340011,9,4700
346,140488,11,10000
347,538842,10,3900
348,918813,3,3000
349,465959,9,4300
350,470518,10,12000
351,218224,10,4200
352,228557,9,15900
353,793241,9,4900
354,20956,12,9400
355,812860,7,4300
356,899329,7,9700
357,152706,9,6700
358,897212,8,5300
359,136007,11,5900
360,493732,10,4800
361,303923,6,4600
362,292577,7,4000
363,331680,11,5300
364,330302,11,10000
365,529856,5,3800
366,661164,8,3900
367,372765,12,13600
368,201226,9,12600
369,16596,11,4400
370,408380,5,3200
371,760895,9,26600
372,946741,9,12200
373,866718,8,8900
374,241081,10,10600
375,636852,10,151000
376,261366,7,5200
377,31529,12,5900
378,160894,7,4500
379,82165,7,4700
380,323588,7,4900
381,1802,13,6000
382,992992,4,18700
383,327952,5,4600
384,269945,11,9600
385,314802,8,4600
386,561887,4,4200
387,100992,11,21500
388,398145,7,9300
389,876515,3,3800
390,450921,11,9200
391,829432,4,4100
392,717950,6,3700
393,886848,3,3500
394,201029,7,3800
395,325055,9,4800
396,762876,6,5100
397,278717,9,227900
398,904546,8,17500
399,447092,8,13300
400,830860,3,5100
401,656693,12,17700
402,830077,4,4700
403,663347,7,5200
404,678143,7,6300
405,13978,12,12400
406,513833,5,5200
407,773968,7,5500
408,741441,6,8100
409,933510,3,4300
410,884542,4,4900
411,638720,8,12000
412,932431,4,5100
413,996337,2,4700
414,102688,10,4500
415,381208,7,4400
416,27094,11,4700
417,2108,13,4800
418,525867,5,4800
419,133613,8,10600
420,239850,8,4500
421,286249,11,13900
422,497848,10,26400
423,119193,11,6200
424,416095,5,10100
425,932974,6,13500
426,157775,8,15100
427,916447,13,12200
428,556488,4,4600
429,39134,10,4800
430,435753,10,9900
431,759654,9,13000
432,424969,5,9900
433,984711,4,6500
434,693408,10,15200
435,162786,11,25600
436,348059,7,5700
437,212379,17,23400
438,79541,8,4400
439,85904,8,7900
440,675100,7,4300
441,442054,9,4300
442,109438,7,3800
443,503391,6,4600
444,483985,5,4800
445,940894,7,5000
446,939498,8,4100
447,708652,7,4900
448,566201,4,10100
449,457721,7,13100
450,460402,6,5200
451,312230,10,12300
452,153678,8,11900
453,390360,7,5000
454,36318,13,19300
455,489297,6,9600
456,470107,10,6000
457,12864,13,7800
458,270641,11,11600
459,937638,9,11300
460,827125,6,9800
461,282281,8,9300
462,924467,6,10600
463,353559,8,11700
464,44759,13,12100
465,726608,7,21400
466,609497,9,6400
467,138543,10,6500
468,862174,6,9300
469,754599,7,9200
470,585746,9,4300
471,64344,9,4300
472,751517,8,4200
473,656557,7,4800
474,325616,7,8700
475,2806,15,14100
476,475294,7,4300
477,915480,9,4500
478,870065,7,8600
479,357425,11,10100
480,569526,9,9500
481,163757,6,3900
482,677098,7,12800
483,528465,6,5100
484,62148,10,10900
485,436530,11,575700
486,972367,7,5400
487,294786,10,10400
488,309254,11,4700
489,766716,6,4000
490,202401,6,3900
491,735990,4,3600
492,417047,9,8800
493,11234,14,10700
494,801204,8,10200
495,484713,7,4200
496,795721,9,9400
497,869074,6,3900
498,151324,10,4700
499,814016,14,20500
500,536603,6,8400
501,44673,10,4600
502,762676,10,9900
503,522891,13,11400
504,924823,5,3800
505,569150,8,9100
506,128970,8,4600
507,676778,7,4200
508,369995,8,11100
509,598304,8,4500
510,981674,5,7000
511,951819,5,3900
512,219233,13,35700
513,166174,13,44600
514,524934,6,11900
515,872721,5,4200
516,684957,5,4200
517,18685,17,29600
518,441471,12,23300
519,315088,11,5200
520,109875,10,8800
521,290468,12,8900
522,594834,10,5000
523,324725,11,4800
524,122051,9,8300
525,750731,11,11300
526,498530,7,4500
527,785667,8,8600
528,854898,8,4000
529,856338,8,3800
530,229342,6,4200
531,844664,9,9100
532,423974,7,4200
533,99182,10,4300
534,937230,9,10700
535,347726,8,12400
536,329565,7,17800
537,566590,4,5800
538,283775,16,26500
539,349213,12,11600
540,858411,9,21400
541,351100,14,15700
542,477001,6,5400
543,334109,9,5600
544,930894,6,5300
545,23310,12,11700
546,947386,4,4600
547,569674,4,4500
548,764527,13,13000
549,858748,9,10400
550,273825,7,4800
551,202848,9,17200
552,87480,6,5200
553,90813,10,4700
554,241336,6,4000
555,744518,5,4500
556,292492,7,4300
557,294314,8,4300
558,791087,5,22900
559,760391,5,4300
560,636967,10,4900
561,725908,9,9600
562,941969,7,8900
563,183611,14,13900
564,190548,10,5100
565,12337,11,4900
566,757653,8,4000
567,243588,8,4900
568,479557,6,4400
569,404657,8,4400
570,699012,14,10200
571,248564,9,8600
572,525842,6,4500
573,900015,7,8700
574,5889,10,4500
575,316044,7,5000
576,325649,4,3500
577,760514,5,3800
578,836282,7,4200
579,496863,8,9900
580,451854,7,5800
581,390516,6,5400
582,992170,5,9600
583,315350,8,4300
584,8551,10,5000
585,30794,11,5000
586,397064,7,4200
587,410956,6,8500
588,33543,9,3900
589,689026,11,12600
590,165583,13,10600
591,802777,5,3800
592,651645,8,4400
593,186715,7,3800
594,126443,7,4200
595,590572,13,10600
596,482424,5,4200
597,741262,8,8100
598,674493,9,4600
599,955282,4,3500
600,917089,7,15200
601,945946,7,4600
602,733259,7,4500
603,985043,5,4000
604,376533,7,5200
605,255805,8,10100
606,348935,8,5300
607,661435,11,15500
608,535678,5,5900
609,892798,8,4600
610,538682,9,4700
611,962806,4,3800
612,666829,9,4200
613,214503,9,20200
614,567629,6,8900
615,892373,8,7900
616,892821,8,5800
617,491473,8,5700
618,321268,9,9600
619,156973,12,9300
620,426375,6,4700
621,10199,13,7700
622,675128,11,8600
623,905822,8,8900
624,16262,12,6700
625,734317,8,4900
626,999007,2,4200
627,565553,4,4800
628,842790,7,5300
629,469641,11,4900
630,534137,6,4000
631,935451,9,5000
632,112838,8,4700
633,566399,6,4100
634,798922,4,4700
635,610078,16,11600
636,863943,5,4700
637,98794,10,6800
638,5391,14,18400
639,695759,14,10900
640,166568,12,9000
641,133446,6,9200
642,774959,5,3800
643,904690,5,4900
644,266048,5,3800
645,354907,8,4300
646,60927,11,4900
647,551233,6,5000
648,967959,3,3400
649,680788,8,38200
650,22578,12,5300
651,679372,14,12400
652,963040,4,7100
653,406510,8,9300
654,405276,8,9400
655,861818,4,5500
656,45207,9,5800
657,643084,8,5600
658,11809,11,11500
659,442221,9,6600
660,922035,8,6300
661,873319,7,9900
662,575806,11,6000
663,520580,8,15400
664,750729,8,9400
665,161698,11,7000
666,713267,6,5600
667,885370,6,16300
668,842109,8,6000
669,952187,11,16100
670,329100,9,11300
671,114155,8,6100
672,207461,7,5800
673,556190,4,5200
674,579083,11,6300
675,509111,4,5200
676,668732,8,5700
677,289428,8,6000
678,87028,7,5500
679,775423,7,9700
680,331071,11,6800
681,903768,8,5900
682,171061,12,12000
683,229389,5,5100
684,256999,7,5700
685,706186,9,14200
686,424431,7,9400
687,826192,7,5800
688,559940,8,11900
689,60861,11,11200
690,250085,8,10800
691,709828,8,5600
692,500531,7,5300
693,218987,9,6300
694,475712,8,4400
695,135024,5,4000
696,263484,6,4300
697,306056,5,4100
