step,key,operations,nanos
319,479102,12,5100
320,995303,20,5600
321,768945,12,4900
322,112431,9,4000
323,635658,16,2600
324,865751,12,7100
325,844357,9,2700
326,610122,12,3200
327,536984,9,2700
328,773896,9,2100
329,511069,9,7500
330,41418,5,12200
331,528465,14,6100
332,255440,12,4500
333,23210,10,2200
334,744762,16,5400
335,134429,12,4900
336,212656,10,5300
337,432582,12,2600
338,516890,11,2900
339,64632,10,2900
340,229894,10,2900
341,908348,10,5100
342,888047,15,5100
343,525713,19,5100
344,527123,9,3200
345,963773,17,6900
346,488462,12,4600
347,942284,12,7600
348,581745,10,6200
349,943551,14,2300
350,759773,8,2400
351,255518,14,9300
352,556242,14,3500
353,691053,11,8600
354,726668,10,15200
355,38993,5,13600
356,415227,11,3800
357,758394,11,4700
358,52957,12,4600
359,110203,15,6100
360,573639,18,10100
361,155993,11,2600
362,342693,11,2200
363,539484,9,2700
364,948446,19,6400
365,971165,8,3800
366,387015,14,5800
367,12337,12,6400
368,476955,11,6200
369,375684,11,3900
370,675006,16,9700
371,589419,14,3200
372,646439,11,10600
373,623714,13,5200
374,570261,17,7100
375,71188,12,5600
376,143432,11,2500
377,234198,7,2400
378,852939,17,8200
379,700862,13,5200
380,316517,11,5700
381,511305,12,5400
382,524158,18,3700
383,567043,12,2300
384,290329,14,8600
385,126897,15,3600
386,219065,7,5900
387,906705,9,8900
388,651133,11,4300
389,575392,18,5700
390,839581,13,9200
391,242386,15,10900
392,946068,12,7200
393,622961,10,5200
394,277927,9,4700
395,79969,9,2400
396,638720,15,5300
397,303475,9,4800
398,524181,20,6100
399,802469,19,5300
400,73701,12,6300
401,737052,16,7700
402,642445,5,2300
403,288217,12,6200
404,946212,13,7200
405,435053,17,4800
406,683275,10,6800
407,230503,11,5800
408,488519,13,5800
409,584751,12,5300
410,763816,13,5000
411,564976,11,2500
412,601996,14,2200
413,459540,12,6100
414,416346,15,2300
415,41661,7,1800
416,715033,15,7200
417,739063,17,5800
418,834758,17,5700
419,75186,17,4600
420,105162,12,11000
421,223798,7,2400
422,682684,8,5100
423,50359,10,4700
424,663213,13,4100
425,660989,8,6100
426,535676,14,17000
427,669592,13,6400
428,339330,9,4900
429,239945,10,6900
430,326919,8,3400
431,10098,9,5800
432,760209,12,4400
433,521867,14,5700
434,168554,13,5200
435,841248,16,7600
436,444350,15,5100
437,726313,11,7600
438,201459,13,4800
439,100042,14,2300
440,521805,16,3800
441,439615,19,5000
442,965441,17,5800
443,572506,16,6100
444,60669,13,5600
445,216720,9,5300
446,742566,17,5500
447,50217,9,4000
448,837406,19,4200
449,16134,11,8600
450,115170,6,3700
451,647760,8,4400
452,610881,9,3700
453,590150,16,3600
