Номер операции,Время(нс),Количество операций
290 , 6700 , 16
291 , 3400 , 8
292 , 5900 , 14
293 , 10400 , 6
294 , 4200 , 12
295 , 6200 , 7
296 , 4600 , 10
297 , 7100 , 16
298 , 8800 , 11
299 , 4600 , 13
300 , 6900 , 15
301 , 9100 , 15
302 , 6100 , 9
303 , 6300 , 13
304 , 5800 , 13
305 , 5300 , 10
306 , 7600 , 11
307 , 3700 , 15
308 , 8500 , 10
309 , 6500 , 9
310 , 5300 , 15
311 , 7400 , 12
312 , 4100 , 8
313 , 3800 , 14
314 , 3800 , 12
315 , 4600 , 11
316 , 6300 , 14
317 , 8100 , 14
318 , 5100 , 9
319 , 6400 , 9
320 , 3700 , 7
321 , 5200 , 13
322 , 7300 , 12
323 , 3700 , 7
324 , 4200 , 8
325 , 6600 , 7
326 , 6600 , 15
327 , 7800 , 12
328 , 4700 , 14
329 , 8000 , 12
330 , 8200 , 7
331 , 5700 , 12
332 , 4200 , 17
333 , 7400 , 14
334 , 6700 , 16
335 , 5500 , 10
336 , 7200 , 15
337 , 3800 , 8
338 , 5800 , 17
339 , 3700 , 8
340 , 5600 , 9
341 , 5700 , 15
342 , 4400 , 12
343 , 111600 , 16
344 , 4300 , 18
345 , 4300 , 10
346 , 4100 , 10
347 , 5900 , 14
348 , 13300 , 17
349 , 67600 , 5
350 , 4300 , 16
351 , 6100 , 13
352 , 5000 , 12
353 , 4800 , 12
354 , 3800 , 10
355 , 6200 , 17
356 , 27300 , 13
357 , 8000 , 15
358 , 6100 , 10
359 , 24500 , 14
360 , 7000 , 16
361 , 21600 , 10
362 , 9200 , 10
363 , 5000 , 9
364 , 6300 , 8
365 , 4100 , 11
366 , 13300 , 17
367 , 7800 , 13
368 , 5300 , 8
369 , 6400 , 15
370 , 10700 , 14
371 , 7100 , 9
372 , 3600 , 4
373 , 8800 , 16
374 , 4000 , 11
375 , 7300 , 12
376 , 5000 , 14
377 , 4400 , 15
378 , 6900 , 13
379 , 5800 , 16
380 , 8200 , 17
381 , 4900 , 7
382 , 8200 , 13
383 , 5100 , 11
384 , 11000 , 6
385 , 6600 , 10
386 , 5600 , 12
387 , 5000 , 10
388 , 4000 , 12
389 , 3600 , 6
390 , 4700 , 14
391 , 4600 , 7
392 , 5000 , 15
393 , 8900 , 4
394 , 6400 , 10
395 , 7900 , 8
396 , 7200 , 13
397 , 10300 , 13
398 , 6200 , 12
399 , 7600 , 13
400 , 10500 , 23
401 , 4100 , 10
402 , 6100 , 13
403 , 9500 , 9
404 , 8300 , 12
405 , 4200 , 11
406 , 5900 , 15
407 , 5200 , 4
408 , 4300 , 6
409 , 6600 , 14
410 , 6000 , 18
411 , 7200 , 6
412 , 4800 , 13
413 , 3700 , 12
414 , 6100 , 17
415 , 7900 , 12
416 , 4200 , 10
417 , 5800 , 10
418 , 6100 , 14
419 , 4900 , 16
420 , 8400 , 15
421 , 10900 , 9
422 , 7000 , 14
423 , 7100 , 17
424 , 6600 , 15
425 , 6100 , 7
426 , 3200 , 8
427 , 6600 , 12
428 , 8900 , 16
429 , 4100 , 11
430 , 6400 , 14
431 , 6600 , 14
432 , 6300 , 12
433 , 3800 , 10
434 , 4400 , 12
435 , 4000 , 10
436 , 8300 , 17
437 , 6800 , 15
438 , 4200 , 13
439 , 10200 , 12
440 , 6400 , 8
441 , 4400 , 10
442 , 5900 , 12
443 , 3800 , 11
444 , 3200 , 8
445 , 3700 , 8
446 , 4600 , 13
447 , 3700 , 11
448 , 3800 , 11
449 , 3600 , 9
450 , 3900 , 10
451 , 5600 , 9
452 , 8500 , 17
453 , 3900 , 6
454 , 8700 , 12
455 , 6100 , 12
456 , 5000 , 9
457 , 10200 , 15
458 , 15600 , 15
459 , 4100 , 11
460 , 4600 , 11
461 , 8100 , 12
462 , 8000 , 14
463 , 4900 , 14
464 , 3800 , 13
465 , 3400 , 12
466 , 2700 , 9
467 , 4700 , 14
468 , 7000 , 15
469 , 3400 , 12
470 , 11100 , 14
471 , 4600 , 10
472 , 3000 , 5
473 , 3100 , 12
474 , 4900 , 14
475 , 2800 , 8
476 , 10000 , 11
477 , 3100 , 5
478 , 2800 , 9
479 , 4300 , 12
480 , 4300 , 14
481 , 3100 , 8
482 , 4800 , 12
483 , 5000 , 7
484 , 3100 , 14
485 , 3900 , 14
486 , 3000 , 8
487 , 3800 , 15
488 , 10000 , 13
489 , 5000 , 9
490 , 3100 , 6
491 , 4000 , 9
492 , 4000 , 12
493 , 3200 , 14
494 , 7400 , 9
495 , 5100 , 13
496 , 5300 , 14
497 , 3700 , 13
498 , 5500 , 11
499 , 3700 , 15
500 , 3000 , 5
501 , 6800 , 17
502 , 5700 , 7
503 , 3900 , 13
504 , 3000 , 6
505 , 5200 , 12
506 , 8000 , 15
507 , 2600 , 8
508 , 3900 , 16
509 , 8200 , 12
510 , 4200 , 11
511 , 6100 , 13
512 , 28100 , 14
513 , 3700 , 6
514 , 3700 , 12
515 , 5400 , 15
516 , 4000 , 16
517 , 6900 , 11
518 , 3000 , 12
519 , 2600 , 8
520 , 5500 , 10
521 , 3400 , 12
522 , 5900 , 13
523 , 5600 , 11
524 , 5600 , 11
525 , 4700 , 8
526 , 7200 , 11
527 , 4000 , 9
528 , 2900 , 12
529 , 7000 , 21
530 , 3400 , 13
531 , 8800 , 16
532 , 6000 , 10
533 , 4300 , 14
534 , 4000 , 12
535 , 3800 , 8
536 , 2700 , 12
537 , 4300 , 14
538 , 4900 , 8
539 , 6200 , 12
540 , 3400 , 15
541 , 5700 , 14
542 , 5400 , 12
543 , 11000 , 10
544 , 10500 , 13
545 , 5900 , 13
546 , 2500 , 10
547 , 2900 , 14
548 , 5100 , 10
549 , 10500 , 9
550 , 5300 , 14
551 , 5000 , 14
552 , 7800 , 15
553 , 3500 , 8
554 , 3000 , 11
555 , 9100 , 9
556 , 7400 , 7
557 , 3400 , 16
558 , 6400 , 9
559 , 4900 , 13
560 , 5700 , 14
561 , 3200 , 13
562 , 3600 , 13
563 , 4900 , 13
564 , 5900 , 11
565 , 5800 , 14
566 , 8300 , 13
567 , 5700 , 17
568 , 3200 , 10
569 , 7700 , 13
570 , 4300 , 14
571 , 10200 , 12
572 , 7000 , 17
573 , 4000 , 14
574 , 3500 , 15
575 , 5700 , 11
576 , 3100 , 14
577 , 5100 , 11
578 , 2600 , 12
579 , 3300 , 11
580 , 4900 , 7
581 , 34200 , 15
582 , 3700 , 6
583 , 5400 , 8
584 , 231400 , 12
585 , 9600 , 11
586 , 18600 , 11
587 , 13400 , 8
588 , 13100 , 13
589 , 4500 , 6
590 , 14200 , 13
591 , 5500 , 11
592 , 12400 , 15
593 , 2500 , 15
594 , 5500 , 11
595 , 20900 , 11
596 , 16300 , 7
597 , 7400 , 14
598 , 14700 , 13
599 , 10500 , 9
600 , 4100 , 15
601 , 2100 , 8
602 , 3900 , 17
603 , 6900 , 15
604 , 6200 , 11
605 , 8300 , 8
606 , 7300 , 16
607 , 13600 , 15
608 , 3100 , 11
609 , 11200 , 9
610 , 5200 , 9
611 , 3400 , 8
612 , 4100 , 14
613 , 9500 , 12
614 , 4200 , 14
615 , 12100 , 10
616 , 2700 , 10
617 , 7200 , 12
618 , 2400 , 10
619 , 20000 , 13
620 , 9300 , 10
621 , 10600 , 15
622 , 8400 , 16
623 , 7100 , 12
624 , 6900 , 17
625 , 3500 , 15
626 , 3600 , 14
627 , 1900 , 10
628 , 2000 , 9
629 , 4200 , 8
630 , 4700 , 10
631 , 2600 , 16
632 , 7000 , 12
633 , 7500 , 9
634 , 5500 , 15
635 , 8900 , 11
636 , 7000 , 16
637 , 11800 , 19
638 , 3400 , 15
639 , 2700 , 15
640 , 42000 , 15
641 , 7200 , 13
642 , 12000 , 17
643 , 6300 , 9
644 , 8800 , 12
645 , 2300 , 8
646 , 1300 , 9
647 , 1200 , 15
648 , 3300 , 13
649 , 1500 , 12
650 , 2300 , 16
651 , 2900 , 10
652 , 3300 , 14
653 , 5400 , 11
654 , 11800 , 14
655 , 1300 , 11
656 , 2700 , 10
657 , 9100 , 8
658 , 3600 , 10
659 , 17500 , 9
660 , 3800 , 17
661 , 2600 , 11
662 , 1900 , 17
663 , 7900 , 8
664 , 3400 , 11
665 , 4800 , 14
666 , 3800 , 14
667 , 1700 , 15
668 , 3100 , 11
669 , 2600 , 6
670 , 23100 , 13
671 , 3900 , 15
672 , 2100 , 9
673 , 4500 , 10
674 , 1500 , 5
675 , 2000 , 15
676 , 3300 , 14
677 , 3100 , 11
678 , 2100 , 11
679 , 3600 , 9
680 , 7100 , 12
681 , 4800 , 13
682 , 1700 , 14
683 , 10200 , 13
684 , 5600 , 14
685 , 2400 , 15
686 , 1800 , 10
687 , 8400 , 15
688 , 2700 , 15
689 , 1800 , 10
690 , 4000 , 11
691 , 1900 , 11
692 , 6900 , 9
693 , 1900 , 10
694 , 1200 , 9
695 , 7400 , 14
696 , 8100 , 15
