Номер операции,Время(нс),Количество операций
290 , 2300 , 7
291 , 1800 , 10
292 , 1800 , 8
293 , 1800 , 10
294 , 5800 , 12
295 , 4700 , 11
296 , 1800 , 6
297 , 2000 , 9
298 , 3800 , 4
299 , 3900 , 6
300 , 10400 , 12
301 , 12900 , 11
302 , 1900 , 7
303 , 8000 , 14
304 , 2400 , 10
305 , 1800 , 5
306 , 5200 , 13
307 , 4500 , 9
308 , 2000 , 5
309 , 1700 , 5
310 , 1700 , 8
311 , 1700 , 5
312 , 2300 , 12
313 , 1600 , 4
314 , 1400 , 2
315 , 1700 , 5
316 , 2100 , 11
317 , 2200 , 10
318 , 2100 , 9
319 , 1700 , 7
320 , 2200 , 11
321 , 7100 , 10
322 , 2000 , 4
323 , 2100 , 8
324 , 1900 , 7
325 , 1800 , 9
326 , 1800 , 8
327 , 1900 , 9
328 , 1700 , 6
329 , 2000 , 10
330 , 1800 , 7
331 , 2100 , 11
332 , 2400 , 12
333 , 1600 , 2
334 , 1500 , 4
335 , 1600 , 6
336 , 2000 , 8
337 , 1800 , 5
338 , 2000 , 11
339 , 1800 , 6
340 , 1900 , 9
341 , 1500 , 4
342 , 20500 , 9
343 , 18100 , 11
344 , 3700 , 11
345 , 700 , 3
346 , 700 , 8
347 , 600 , 7
348 , 3900 , 12
349 , 900 , 8
350 , 600 , 8
351 , 700 , 5
352 , 3700 , 12
353 , 11100 , 8
354 , 800 , 8
355 , 120600 , 8
356 , 24600 , 11
357 , 900 , 7
358 , 700 , 6
359 , 600 , 7
360 , 600 , 5
361 , 4200 , 13
362 , 3200 , 9
363 , 700 , 4
364 , 600 , 10
365 , 800 , 11
366 , 500 , 5
367 , 3100 , 7
368 , 1000 , 8
369 , 600 , 5
370 , 4000 , 13
371 , 700 , 10
372 , 2800 , 10
373 , 2500 , 9
374 , 900 , 15
375 , 700 , 7
376 , 500 , 5
377 , 600 , 11
378 , 700 , 2
379 , 600 , 8
380 , 500 , 6
381 , 500 , 9
382 , 500 , 8
383 , 600 , 9
384 , 2100 , 6
385 , 800 , 8
386 , 4400 , 7
387 , 2600 , 4
388 , 3100 , 9
389 , 600 , 8
390 , 2700 , 13
391 , 4800 , 13
392 , 700 , 7
393 , 600 , 12
394 , 600 , 8
395 , 600 , 6
396 , 3300 , 10
397 , 600 , 10
398 , 4800 , 12
399 , 8900 , 15
400 , 800 , 5
401 , 800 , 8
402 , 600 , 4
403 , 600 , 6
404 , 600 , 10
405 , 600 , 5
406 , 600 , 6
407 , 600 , 8
408 , 600 , 10
409 , 3400 , 12
410 , 3000 , 7
411 , 700 , 9
412 , 2600 , 7
413 , 1200 , 7
414 , 3700 , 3
415 , 4100 , 10
416 , 1000 , 12
417 , 700 , 10
418 , 700 , 8
419 , 500 , 8
420 , 600 , 10
421 , 600 , 5
422 , 700 , 7
423 , 600 , 6
424 , 600 , 7
425 , 3600 , 9
426 , 700 , 11
427 , 600 , 5
428 , 600 , 11
429 , 600 , 5
430 , 3100 , 8
431 , 900 , 14
432 , 3000 , 8
433 , 600 , 6
434 , 500 , 3
435 , 2700 , 8
436 , 700 , 12
437 , 4900 , 7
438 , 4600 , 14
439 , 5100 , 17
440 , 700 , 4
441 , 3400 , 14
442 , 3500 , 7
443 , 600 , 5
444 , 700 , 8
445 , 700 , 12
446 , 3300 , 8
447 , 1000 , 11
448 , 600 , 6
449 , 700 , 6
450 , 3100 , 9
451 , 700 , 6
452 , 600 , 8
453 , 600 , 5
454 , 600 , 8
455 , 3300 , 9
456 , 600 , 8
457 , 500 , 7
458 , 500 , 7
459 , 500 , 7
460 , 2500 , 9
461 , 600 , 4
462 , 3000 , 9
463 , 700 , 13
464 , 3100 , 9
465 , 600 , 5
466 , 500 , 9
467 , 500 , 9
468 , 600 , 4
469 , 2800 , 13
470 , 3800 , 9
471 , 3200 , 12
472 , 700 , 8
473 , 500 , 9
474 , 400 , 7
475 , 3800 , 13
476 , 700 , 8
477 , 700 , 11
478 , 600 , 10
479 , 500 , 6
480 , 8700 , 11
481 , 700 , 6
482 , 600 , 9
483 , 600 , 8
484 , 600 , 7
485 , 600 , 12
486 , 600 , 8
487 , 500 , 6
488 , 3400 , 10
489 , 700 , 5
490 , 2700 , 6
491 , 800 , 7
492 , 500 , 8
493 , 3000 , 8
494 , 700 , 4
495 , 500 , 9
496 , 500 , 11
497 , 600 , 5
498 , 600 , 5
499 , 500 , 8
500 , 600 , 9
501 , 700 , 6
502 , 500 , 6
503 , 2700 , 6
504 , 600 , 7
505 , 600 , 4
506 , 3600 , 12
507 , 700 , 8
508 , 2700 , 6
509 , 600 , 4
510 , 500 , 9
511 , 500 , 10
512 , 19700 , 7
513 , 1100 , 11
514 , 4900 , 10
515 , 700 , 6
516 , 3100 , 5
517 , 3000 , 9
518 , 5000 , 15
519 , 800 , 5
520 , 700 , 5
521 , 3300 , 15
522 , 800 , 9
523 , 2900 , 9
524 , 800 , 7
525 , 8300 , 16
526 , 3000 , 10
527 , 800 , 8
528 , 600 , 11
529 , 600 , 8
530 , 2900 , 6
531 , 3400 , 7
532 , 3500 , 10
533 , 700 , 7
534 , 3600 , 10
535 , 800 , 8
536 , 600 , 6
537 , 600 , 12
538 , 600 , 8
539 , 600 , 6
540 , 3500 , 9
541 , 800 , 5
542 , 600 , 10
543 , 600 , 9
544 , 500 , 7
545 , 3600 , 11
546 , 600 , 7
547 , 2600 , 9
548 , 600 , 5
549 , 600 , 7
550 , 600 , 7
551 , 1500 , 12
552 , 800 , 12
553 , 4700 , 10
554 , 600 , 7
555 , 3400 , 10
556 , 600 , 5
557 , 600 , 13
558 , 500 , 5
559 , 400 , 6
560 , 3600 , 11
561 , 4700 , 15
562 , 3100 , 13
563 , 700 , 4
564 , 600 , 5
565 , 700 , 4
566 , 600 , 7
567 , 600 , 4
568 , 600 , 9
569 , 600 , 8
570 , 3700 , 14
571 , 3200 , 6
572 , 700 , 8
573 , 600 , 4
574 , 500 , 2
575 , 600 , 3
576 , 600 , 10
577 , 1100 , 12
578 , 600 , 7
579 , 600 , 11
580 , 500 , 11
581 , 600 , 9
582 , 700 , 7
583 , 700 , 12
584 , 600 , 6
585 , 500 , 6
586 , 500 , 3
587 , 4000 , 8
588 , 7700 , 12
589 , 3700 , 11
590 , 800 , 6
591 , 700 , 8
592 , 3300 , 8
593 , 700 , 7
594 , 600 , 8
595 , 500 , 9
596 , 600 , 8
597 , 600 , 14
598 , 4400 , 11
599 , 800 , 6
600 , 600 , 7
601 , 500 , 8
602 , 600 , 6
603 , 3500 , 14
604 , 3300 , 11
