Номер операции,Время(нс),Количество операций
1297 , 400 , 12
1298 , 2400 , 12
1299 , 400 , 11
1300 , 300 , 8
1301 , 400 , 6
1302 , 300 , 7
1303 , 400 , 7
1304 , 2800 , 9
1305 , 2100 , 8
1306 , 500 , 13
1307 , 200 , 6
1308 , 2300 , 9
1309 , 200 , 7
1310 , 400 , 9
1311 , 2400 , 9
1312 , 400 , 9
1313 , 500 , 9
1314 , 300 , 9
1315 , 300 , 9
1316 , 3300 , 16
1317 , 7400 , 11
1318 , 2600 , 8
1319 , 400 , 11
1320 , 300 , 7
1321 , 300 , 7
1322 , 300 , 8
1323 , 2600 , 10
1324 , 400 , 4
1325 , 300 , 5
1326 , 2200 , 11
1327 , 2400 , 9
1328 , 2500 , 14
1329 , 400 , 15
1330 , 300 , 6
1331 , 2800 , 11
1332 , 400 , 10
1333 , 3400 , 12
1334 , 400 , 8
1335 , 300 , 7
1336 , 300 , 7
1337 , 400 , 16
1338 , 2400 , 8
1339 , 3100 , 14
1340 , 300 , 6
1341 , 3100 , 14
1342 , 400 , 11
1343 , 500 , 12
1344 , 400 , 12
1345 , 500 , 10
1346 , 3100 , 13
1347 , 400 , 13
1348 , 400 , 15
1349 , 300 , 2
1350 , 3500 , 10
1351 , 400 , 16
1352 , 3000 , 8
1353 , 2800 , 19
1354 , 400 , 11
1355 , 400 , 12
1356 , 10000 , 11
1357 , 400 , 8
1358 , 3700 , 14
1359 , 6200 , 11
1360 , 2300 , 11
1361 , 3900 , 16
1362 , 2200 , 13
1363 , 400 , 8
1364 , 2300 , 11
1365 , 400 , 8
1366 , 400 , 8
1367 , 2000 , 3
1368 , 2800 , 13
1369 , 2300 , 10
1370 , 2000 , 9
1371 , 2400 , 14
1372 , 300 , 8
1373 , 400 , 11
1374 , 400 , 6
1375 , 400 , 6
1376 , 2200 , 5
1377 , 400 , 10
1378 , 400 , 12
1379 , 400 , 9
1380 , 400 , 4
1381 , 400 , 10
1382 , 400 , 10
1383 , 300 , 11
1384 , 4800 , 23
1385 , 400 , 13
1386 , 4300 , 17
1387 , 43300 , 16
1388 , 2400 , 9
1389 , 400 , 10
1390 , 300 , 12
1391 , 400 , 7
1392 , 400 , 8
1393 , 3200 , 13
1394 , 500 , 7
1395 , 3100 , 16
1396 , 600 , 12
1397 , 300 , 3
1398 , 2600 , 8
1399 , 500 , 5
1400 , 400 , 9
1401 , 300 , 6
1402 , 400 , 12
1403 , 7400 , 7
1404 , 400 , 8
1405 , 400 , 12
1406 , 500 , 11
1407 , 300 , 5
1408 , 300 , 7
1409 , 3100 , 6
1410 , 400 , 11
1411 , 400 , 10
1412 , 300 , 6
1413 , 2200 , 11
1414 , 300 , 6
1415 , 3400 , 17
1416 , 2400 , 9
1417 , 1800 , 5
1418 , 2300 , 13
1419 , 400 , 4
1420 , 3300 , 17
1421 , 400 , 5
1422 , 400 , 8
1423 , 5000 , 17
1424 , 2800 , 9
1425 , 400 , 8
1426 , 500 , 7
1427 , 600 , 11
1428 , 2700 , 11
1429 , 6900 , 12
1430 , 3200 , 15
1431 , 400 , 9
1432 , 4400 , 11
1433 , 500 , 10
1434 , 300 , 9
1435 , 2700 , 9
1436 , 500 , 7
1437 , 400 , 9
1438 , 400 , 7
1439 , 2400 , 12
1440 , 2000 , 9
1441 , 400 , 6
1442 , 400 , 9
1443 , 2300 , 8
1444 , 1900 , 11
1445 , 500 , 12
1446 , 1900 , 8
1447 , 400 , 3
1448 , 2400 , 10
1449 , 2500 , 9
1450 , 600 , 11
1451 , 300 , 7
1452 , 2500 , 12
1453 , 500 , 8
1454 , 400 , 8
1455 , 600 , 6
1456 , 400 , 10
1457 , 500 , 9
1458 , 2400 , 11
1459 , 2300 , 13
1460 , 500 , 9
1461 , 400 , 11
1462 , 2100 , 9
1463 , 700 , 7
1464 , 400 , 6
1465 , 2000 , 9
1466 , 500 , 7
1467 , 400 , 7
1468 , 400 , 9
1469 , 400 , 11
1470 , 500 , 11
1471 , 300 , 5
1472 , 300 , 3
1473 , 400 , 6
1474 , 400 , 10
1475 , 400 , 8
1476 , 400 , 4
1477 , 500 , 16
1478 , 500 , 10
1479 , 5600 , 6
1480 , 400 , 8
1481 , 400 , 11
1482 , 400 , 5
1483 , 300 , 9
1484 , 3300 , 11
1485 , 2700 , 11
1486 , 2200 , 10
1487 , 400 , 10
1488 , 2200 , 10
1489 , 500 , 10
1490 , 400 , 10
1491 , 2400 , 11
1492 , 400 , 12
1493 , 500 , 11
1494 , 400 , 7
1495 , 300 , 6
1496 , 400 , 10
1497 , 400 , 10
1498 , 400 , 7
1499 , 400 , 5
1500 , 2500 , 10
1501 , 600 , 5
1502 , 400 , 10
1503 , 400 , 11
1504 , 500 , 7
1505 , 600 , 10
1506 , 400 , 7
1507 , 2500 , 12
1508 , 1500 , 9
1509 , 300 , 8
1510 , 400 , 10
1511 , 400 , 11
1512 , 400 , 12
1513 , 400 , 8
1514 , 400 , 9
1515 , 500 , 7
1516 , 400 , 13
1517 , 300 , 4
1518 , 2900 , 12
1519 , 300 , 7
1520 , 300 , 7
1521 , 300 , 6
1522 , 2400 , 10
1523 , 500 , 10
1524 , 800 , 10
1525 , 500 , 10
1526 , 300 , 6
1527 , 500 , 9
1528 , 300 , 6
1529 , 400 , 12
1530 , 8300 , 8
1531 , 400 , 11
1532 , 400 , 7
1533 , 500 , 9
1534 , 2500 , 12
1535 , 400 , 5
1536 , 1300 , 11
1537 , 400 , 10
1538 , 500 , 10
1539 , 2500 , 11
1540 , 2400 , 13
1541 , 500 , 10
1542 , 400 , 9
1543 , 400 , 8
1544 , 2800 , 16
1545 , 2300 , 10
1546 , 400 , 9
1547 , 300 , 8
1548 , 300 , 4
1549 , 2400 , 7
1550 , 400 , 8
1551 , 300 , 5
1552 , 1800 , 10
1553 , 400 , 8
1554 , 300 , 8
1555 , 1600 , 6
1556 , 400 , 7
1557 , 500 , 12
1558 , 400 , 8
1559 , 2500 , 15
1560 , 2800 , 13
1561 , 300 , 2
1562 , 1900 , 10
1563 , 2500 , 11
1564 , 2200 , 10
1565 , 400 , 9
1566 , 300 , 8
1567 , 2700 , 15
1568 , 300 , 7
1569 , 400 , 6
1570 , 500 , 9
1571 , 300 , 10
1572 , 400 , 10
1573 , 6500 , 13
1574 , 400 , 3
1575 , 300 , 4
1576 , 2700 , 11
1577 , 400 , 10
1578 , 400 , 4
1579 , 300 , 5
1580 , 2400 , 11
1581 , 400 , 8
1582 , 300 , 2
1583 , 500 , 11
1584 , 3000 , 16
1585 , 500 , 9
1586 , 2600 , 12
1587 , 500 , 7
1588 , 400 , 10
1589 , 2200 , 15
1590 , 300 , 11
1591 , 400 , 7
1592 , 2800 , 9
1593 , 400 , 11
1594 , 300 , 6
1595 , 2700 , 14
1596 , 2000 , 11
1597 , 500 , 11
1598 , 2300 , 12
1599 , 1700 , 7
1600 , 6800 , 16
1601 , 400 , 9
1602 , 400 , 6
1603 , 2400 , 12
1604 , 400 , 10
1605 , 400 , 8
1606 , 500 , 9
1607 , 500 , 5
1608 , 500 , 6
1609 , 400 , 11
1610 , 2300 , 11
1611 , 3700 , 12
1612 , 400 , 12
1613 , 500 , 9
1614 , 6200 , 9
1615 , 400 , 9
1616 , 2500 , 9
1617 , 300 , 5
1618 , 1900 , 9
1619 , 500 , 10
1620 , 400 , 13
1621 , 400 , 6
1622 , 500 , 13
1623 , 300 , 8
1624 , 2600 , 12
1625 , 300 , 7
1626 , 400 , 11
1627 , 300 , 10
1628 , 400 , 5
1629 , 300 , 5
1630 , 2500 , 10
1631 , 2300 , 10
1632 , 400 , 8
1633 , 2000 , 10
1634 , 400 , 8
1635 , 2200 , 13
1636 , 400 , 11
1637 , 200 , 6
1638 , 300 , 12
1639 , 300 , 4
1640 , 300 , 9
1641 , 500 , 12
1642 , 500 , 7
1643 , 400 , 15
1644 , 400 , 14
1645 , 400 , 13
1646 , 500 , 10
1647 , 3100 , 10
1648 , 2100 , 8
1649 , 400 , 10
1650 , 2300 , 11
1651 , 400 , 10
1652 , 300 , 8
1653 , 3100 , 14
1654 , 400 , 7
1655 , 300 , 7
1656 , 300 , 10
1657 , 500 , 9
1658 , 2500 , 7
1659 , 300 , 7
1660 , 500 , 7
1661 , 400 , 14
1662 , 3600 , 16
1663 , 3500 , 13
1664 , 300 , 5
1665 , 400 , 8
1666 , 400 , 5
1667 , 400 , 13
1668 , 400 , 7
1669 , 400 , 14
1670 , 400 , 6
1671 , 400 , 9
1672 , 400 , 11
1673 , 2800 , 10
1674 , 500 , 7
1675 , 400 , 10
1676 , 500 , 12
1677 , 2200 , 9
1678 , 2100 , 8
1679 , 2900 , 15
1680 , 400 , 13
1681 , 2600 , 12
1682 , 2600 , 11
1683 , 500 , 11
1684 , 200 , 6
1685 , 2300 , 14
1686 , 300 , 10
1687 , 300 , 11
1688 , 400 , 8
1689 , 300 , 10
1690 , 400 , 10
1691 , 400 , 11
1692 , 400 , 10
1693 , 5000 , 15
1694 , 300 , 10
1695 , 500 , 9
1696 , 2700 , 13
1697 , 2800 , 11
1698 , 400 , 7
1699 , 2200 , 6
1700 , 400 , 8
1701 , 400 , 7
1702 , 400 , 5
1703 , 400 , 10
1704 , 700 , 11
1705 , 6300 , 12
1706 , 500 , 9
1707 , 300 , 8
1708 , 400 , 8
1709 , 2400 , 7
1710 , 400 , 13
1711 , 400 , 7
1712 , 400 , 6
1713 , 400 , 10
1714 , 2300 , 9
1715 , 400 , 7
1716 , 2600 , 14
1717 , 4600 , 14
1718 , 500 , 13
1719 , 400 , 11
1720 , 400 , 6
1721 , 2500 , 9
1722 , 500 , 9
1723 , 500 , 12
1724 , 6600 , 14
1725 , 2400 , 15
1726 , 400 , 13
1727 , 400 , 6
1728 , 400 , 9
1729 , 2400 , 15
1730 , 400 , 6
1731 , 3900 , 12
1732 , 400 , 6
1733 , 500 , 15
1734 , 5200 , 11
1735 , 400 , 6
1736 , 400 , 9
1737 , 500 , 12
1738 , 400 , 14
1739 , 300 , 8
1740 , 2500 , 10
1741 , 300 , 4
1742 , 400 , 11
1743 , 400 , 6
1744 , 2500 , 12
1745 , 1700 , 9
1746 , 500 , 9
1747 , 400 , 7
1748 , 9100 , 11
1749 , 400 , 13
1750 , 400 , 11
1751 , 300 , 12
1752 , 300 , 8
1753 , 500 , 8
1754 , 500 , 7
1755 , 500 , 9
1756 , 300 , 8
1757 , 6600 , 15
1758 , 300 , 5
1759 , 400 , 7
1760 , 400 , 11
1761 , 32500 , 11
1762 , 1800 , 7
1763 , 1500 , 10
1764 , 400 , 10
1765 , 2100 , 15
1766 , 700 , 9
1767 , 400 , 12
1768 , 1400 , 14
1769 , 400 , 7
1770 , 400 , 8
1771 , 3800 , 10
1772 , 600 , 4
1773 , 400 , 5
1774 , 500 , 10
1775 , 300 , 9
1776 , 400 , 11
1777 , 1500 , 6
1778 , 400 , 4
1779 , 400 , 12
1780 , 300 , 12
1781 , 400 , 6
1782 , 300 , 5
1783 , 1100 , 10
1784 , 400 , 6
1785 , 400 , 14
1786 , 1300 , 9
1787 , 300 , 11
1788 , 400 , 9
1789 , 1200 , 10
1790 , 1300 , 14
1791 , 300 , 3
1792 , 400 , 11
1793 , 400 , 8
1794 , 400 , 11
1795 , 9500 , 15
1796 , 400 , 9
1797 , 500 , 6
1798 , 400 , 10
1799 , 1600 , 18
1800 , 400 , 10
1801 , 400 , 14
1802 , 400 , 6
1803 , 1200 , 10
1804 , 400 , 8
1805 , 600 , 13
1806 , 400 , 6
1807 , 300 , 10
1808 , 1600 , 12
1809 , 500 , 11
1810 , 400 , 10
1811 , 1900 , 19
1812 , 400 , 6
1813 , 400 , 15
1814 , 500 , 8
1815 , 600 , 14
1816 , 1400 , 8
1817 , 1100 , 10
1818 , 400 , 10
1819 , 300 , 5
1820 , 500 , 10
1821 , 400 , 10
1822 , 300 , 5
1823 , 1400 , 8
1824 , 400 , 12
1825 , 1200 , 8
1826 , 400 , 8
1827 , 300 , 7
1828 , 1300 , 8
1829 , 1200 , 11
1830 , 400 , 3
1831 , 400 , 11
1832 , 400 , 11
1833 , 300 , 6
1834 , 400 , 10
1835 , 400 , 8
1836 , 300 , 6
1837 , 400 , 11
1838 , 400 , 3
1839 , 400 , 6
1840 , 600 , 10
1841 , 300 , 9
1842 , 300 , 6
1843 , 200 , 6
1844 , 4000 , 9
1845 , 2000 , 7
1846 , 400 , 8
1847 , 1200 , 5
1848 , 300 , 8
1849 , 400 , 13
1850 , 1300 , 10
1851 , 400 , 7
1852 , 400 , 10
1853 , 900 , 11
1854 , 300 , 9
1855 , 500 , 11
1856 , 400 , 6
1857 , 400 , 9
1858 , 400 , 9
1859 , 2300 , 8
1860 , 1100 , 10
1861 , 1800 , 10
1862 , 1100 , 10
1863 , 400 , 12
1864 , 400 , 9
1865 , 1700 , 11
1866 , 1300 , 12
1867 , 400 , 6
1868 , 5000 , 13
1869 , 1800 , 12
1870 , 400 , 9
1871 , 300 , 7
1872 , 1600 , 14
1873 , 1400 , 11
1874 , 300 , 7
1875 , 400 , 10
1876 , 1300 , 9
1877 , 400 , 10
1878 , 1100 , 14
1879 , 400 , 9
1880 , 400 , 11
1881 , 600 , 7
1882 , 600 , 11
1883 , 1600 , 11
1884 , 500 , 10
1885 , 300 , 7
1886 , 1900 , 8
1887 , 600 , 8
1888 , 400 , 4
1889 , 300 , 8
1890 , 400 , 7
1891 , 1400 , 11
1892 , 400 , 10
1893 , 400 , 9
1894 , 400 , 7
1895 , 1400 , 7
1896 , 400 , 12
1897 , 400 , 8
1898 , 1600 , 17
1899 , 300 , 9
1900 , 1300 , 11
1901 , 400 , 8
1902 , 400 , 12
1903 , 1500 , 19
1904 , 300 , 5
1905 , 1700 , 14
1906 , 400 , 13
1907 , 2000 , 11
1908 , 1400 , 11
1909 , 300 , 4
1910 , 400 , 11
1911 , 4400 , 3
1912 , 600 , 11
1913 , 2000 , 14
1914 , 2100 , 14
1915 , 400 , 10
1916 , 500 , 13
1917 , 300 , 9
1918 , 300 , 8
1919 , 500 , 8
1920 , 500 , 10
1921 , 1800 , 12
1922 , 1100 , 11
1923 , 400 , 11
1924 , 400 , 8
1925 , 300 , 8
1926 , 1100 , 10
1927 , 400 , 9
1928 , 1200 , 8
1929 , 900 , 13
1930 , 400 , 10
1931 , 400 , 10
1932 , 1500 , 14
1933 , 900 , 9
1934 , 1000 , 10
1935 , 1000 , 10
1936 , 400 , 4
1937 , 1400 , 12
1938 , 400 , 4
1939 , 500 , 6
1940 , 1100 , 4
1941 , 3600 , 13
1942 , 1700 , 8
1943 , 1400 , 15
1944 , 1400 , 17
1945 , 2000 , 14
1946 , 300 , 8
1947 , 500 , 7
1948 , 7300 , 8
1949 , 400 , 8
1950 , 400 , 13
1951 , 400 , 11
1952 , 300 , 4
1953 , 300 , 8
1954 , 300 , 10
1955 , 500 , 9
1956 , 500 , 13
1957 , 400 , 8
1958 , 500 , 11
1959 , 500 , 9
1960 , 2100 , 8
1961 , 1300 , 14
1962 , 400 , 7
1963 , 400 , 9
1964 , 400 , 4
1965 , 400 , 10
1966 , 1400 , 9
1967 , 1200 , 10
1968 , 600 , 14
1969 , 600 , 12
1970 , 500 , 5
1971 , 300 , 13
1972 , 500 , 11
1973 , 1500 , 12
1974 , 1300 , 18
1975 , 1000 , 6
1976 , 1000 , 7
1977 , 400 , 6
1978 , 300 , 5
1979 , 400 , 8
1980 , 1500 , 16
1981 , 400 , 8
1982 , 1200 , 5
1983 , 400 , 14
1984 , 1200 , 12
1985 , 1100 , 13
1986 , 400 , 9
1987 , 300 , 7
1988 , 300 , 8
1989 , 300 , 10
1990 , 300 , 9
1991 , 700 , 9
1992 , 1300 , 5
1993 , 400 , 7
1994 , 7200 , 9
1995 , 1600 , 9
1996 , 400 , 8
1997 , 500 , 12
1998 , 400 , 9
1999 , 300 , 5
2000 , 400 , 12
2001 , 400 , 6
2002 , 1500 , 6
2003 , 1200 , 11
2004 , 1400 , 15
2005 , 300 , 8
2006 , 400 , 8
2007 , 400 , 9
2008 , 400 , 9
2009 , 1300 , 8
2010 , 1200 , 10
2011 , 500 , 10
2012 , 500 , 12
2013 , 400 , 13
2014 , 1000 , 6
2015 , 400 , 5
2016 , 400 , 12
2017 , 300 , 7
2018 , 400 , 5
2019 , 300 , 8
2020 , 400 , 14
2021 , 300 , 5
2022 , 1500 , 14
2023 , 1300 , 8
2024 , 400 , 5
2025 , 400 , 9
2026 , 1300 , 8
2027 , 500 , 10
2028 , 400 , 13
2029 , 400 , 14
2030 , 400 , 12
2031 , 300 , 9
2032 , 2100 , 17
2033 , 400 , 13
2034 , 300 , 8
2035 , 1400 , 12
2036 , 400 , 9
2037 , 400 , 8
2038 , 1300 , 9
2039 , 400 , 8
2040 , 400 , 6
2041 , 400 , 10
2042 , 1900 , 8
2043 , 400 , 8
2044 , 1600 , 14
2045 , 500 , 9
2046 , 500 , 8
2047 , 300 , 3
2048 , 400 , 8
2049 , 2000 , 10
2050 , 400 , 10
2051 , 1600 , 12
2052 , 400 , 8
2053 , 2100 , 11
2054 , 400 , 10
2055 , 400 , 12
2056 , 400 , 7
2057 , 400 , 8
2058 , 1600 , 10
2059 , 400 , 6
2060 , 300 , 7
2061 , 400 , 9
2062 , 1500 , 9
2063 , 500 , 10
2064 , 1500 , 14
2065 , 500 , 14
2066 , 1700 , 11
2067 , 1400 , 8
2068 , 600 , 11
2069 , 400 , 9
2070 , 1300 , 7
2071 , 400 , 8
2072 , 1600 , 11
2073 , 1200 , 11
2074 , 1300 , 9
2075 , 1100 , 12
2076 , 400 , 10
2077 , 400 , 9
2078 , 400 , 13
2079 , 400 , 11
2080 , 400 , 8
2081 , 2000 , 9
2082 , 600 , 10
2083 , 800 , 12
2084 , 400 , 6
2085 , 1800 , 10
2086 , 1400 , 15
2087 , 500 , 9
2088 , 300 , 5
2089 , 600 , 10
2090 , 400 , 11
2091 , 1400 , 14
2092 , 400 , 3
2093 , 1300 , 12
2094 , 1400 , 15
2095 , 1600 , 11
2096 , 600 , 9
2097 , 1200 , 10
2098 , 400 , 12
2099 , 5000 , 11
2100 , 300 , 9
2101 , 1600 , 13
2102 , 1100 , 9
2103 , 300 , 8
2104 , 500 , 7
2105 , 400 , 8
2106 , 1300 , 10
2107 , 300 , 7
2108 , 400 , 10
2109 , 1400 , 13
2110 , 400 , 6
2111 , 500 , 10
2112 , 2500 , 8
2113 , 1900 , 9
2114 , 400 , 11
2115 , 300 , 6
2116 , 400 , 10
2117 , 400 , 10
2118 , 1600 , 12
2119 , 1200 , 12
2120 , 400 , 7
2121 , 600 , 7
2122 , 300 , 8
2123 , 500 , 12
2124 , 400 , 7
2125 , 2000 , 9
2126 , 400 , 7
2127 , 300 , 6
2128 , 400 , 7
2129 , 1700 , 12
2130 , 400 , 8
2131 , 300 , 7
2132 , 400 , 10
2133 , 300 , 7
2134 , 1600 , 9
2135 , 1300 , 7
2136 , 400 , 8
2137 , 300 , 4
2138 , 500 , 12
2139 , 500 , 7
2140 , 500 , 13
2141 , 600 , 12
2142 , 300 , 7
2143 , 300 , 7
2144 , 1900 , 9
2145 , 400 , 16
2146 , 400 , 11
2147 , 400 , 13
2148 , 300 , 10
2149 , 400 , 8
2150 , 400 , 9
2151 , 500 , 11
2152 , 1400 , 7
2153 , 1000 , 11
2154 , 1100 , 9
2155 , 500 , 12
2156 , 300 , 6
2157 , 300 , 8
2158 , 1400 , 12
2159 , 400 , 6
2160 , 400 , 9
2161 , 1200 , 14
2162 , 1300 , 12
2163 , 500 , 8
2164 , 300 , 8
2165 , 1300 , 14
2166 , 300 , 7
2167 , 400 , 4
2168 , 300 , 6
2169 , 300 , 6
2170 , 4000 , 4
2171 , 2200 , 8
2172 , 500 , 7
2173 , 500 , 7
2174 , 400 , 6
2175 , 400 , 8
2176 , 400 , 9
2177 , 1600 , 13
2178 , 1300 , 15
2179 , 300 , 10
2180 , 1400 , 7
2181 , 1200 , 10
2182 , 500 , 11
2183 , 400 , 12
2184 , 1200 , 11
2185 , 300 , 3
2186 , 300 , 9
2187 , 400 , 9
2188 , 400 , 4
2189 , 400 , 8
2190 , 400 , 14
2191 , 400 , 13
2192 , 1400 , 10
2193 , 300 , 6
2194 , 1200 , 18
2195 , 400 , 7
2196 , 300 , 11
2197 , 300 , 5
2198 , 500 , 9
2199 , 1500 , 16
2200 , 400 , 11
2201 , 500 , 10
2202 , 400 , 9
2203 , 1100 , 5
2204 , 600 , 15
2205 , 1200 , 8
2206 , 300 , 10
2207 , 400 , 8
2208 , 400 , 10
2209 , 300 , 5
2210 , 400 , 10
2211 , 1200 , 7
2212 , 300 , 7
2213 , 1200 , 10
2214 , 300 , 8
2215 , 500 , 8
2216 , 5000 , 14
2217 , 400 , 9
2218 , 1300 , 9
2219 , 400 , 10
2220 , 1200 , 10
2221 , 400 , 13
2222 , 1300 , 16
2223 , 500 , 10
2224 , 400 , 12
2225 , 400 , 8
2226 , 1500 , 13
2227 , 400 , 8
2228 , 1300 , 11
2229 , 1100 , 8
2230 , 500 , 13
2231 , 500 , 10
2232 , 500 , 10
2233 , 400 , 13
2234 , 300 , 6
2235 , 400 , 6
2236 , 400 , 8
2237 , 400 , 11
2238 , 300 , 4
2239 , 400 , 10
2240 , 300 , 7
2241 , 300 , 12
2242 , 1500 , 12
2243 , 400 , 9
2244 , 400 , 6
2245 , 400 , 12
2246 , 1600 , 16
2247 , 300 , 8
2248 , 1600 , 15
2249 , 1200 , 12
2250 , 300 , 10
2251 , 400 , 7
2252 , 400 , 8
2253 , 400 , 6
2254 , 400 , 5
2255 , 300 , 3
2256 , 500 , 13
2257 , 1600 , 12
2258 , 500 , 7
2259 , 500 , 11
2260 , 400 , 11
2261 , 1300 , 9
2262 , 300 , 8
2263 , 5300 , 6
2264 , 500 , 14
2265 , 1400 , 11
2266 , 300 , 6
2267 , 400 , 8
2268 , 2200 , 16
2269 , 400 , 8
2270 , 300 , 6
2271 , 400 , 9
2272 , 600 , 11
2273 , 1800 , 10
2274 , 400 , 9
2275 , 400 , 12
2276 , 300 , 9
2277 , 400 , 8
2278 , 300 , 3
2279 , 1500 , 12
2280 , 500 , 7
2281 , 500 , 12
2282 , 500 , 11
2283 , 2300 , 10
2284 , 300 , 10
2285 , 1500 , 16
2286 , 400 , 12
2287 , 300 , 13
2288 , 400 , 12
2289 , 1300 , 9
2290 , 400 , 11
2291 , 4300 , 13
2292 , 300 , 9
2293 , 18700 , 15
2294 , 400 , 13
2295 , 900 , 12
2296 , 600 , 10
2297 , 600 , 13
2298 , 600 , 9
2299 , 500 , 12
2300 , 800 , 13
2301 , 400 , 7
2302 , 600 , 8
2303 , 300 , 6
2304 , 400 , 6
2305 , 400 , 5
2306 , 600 , 11
2307 , 4700 , 12
2308 , 700 , 7
2309 , 400 , 5
2310 , 600 , 10
2311 , 800 , 10
2312 , 500 , 9
2313 , 400 , 3
2314 , 400 , 9
2315 , 300 , 8
2316 , 300 , 8
2317 , 300 , 12
2318 , 300 , 10
2319 , 400 , 12
2320 , 400 , 9
2321 , 500 , 14
2322 , 400 , 8
2323 , 400 , 7
2324 , 400 , 11
2325 , 400 , 5
2326 , 400 , 14
2327 , 400 , 7
2328 , 400 , 12
2329 , 900 , 15
2330 , 600 , 12
2331 , 300 , 8
2332 , 400 , 15
2333 , 500 , 9
2334 , 400 , 11
2335 , 900 , 19
2336 , 600 , 11
2337 , 400 , 10
2338 , 400 , 8
2339 , 400 , 8
2340 , 400 , 11
2341 , 700 , 15
2342 , 400 , 7
2343 , 400 , 15
2344 , 300 , 9
2345 , 400 , 12
2346 , 500 , 9
2347 , 700 , 8
2348 , 400 , 8
2349 , 700 , 11
2350 , 700 , 14
2351 , 700 , 11
2352 , 7100 , 7
2353 , 400 , 9
2354 , 600 , 11
2355 , 400 , 10
2356 , 400 , 13
2357 , 800 , 11
2358 , 500 , 9
2359 , 300 , 2
2360 , 400 , 11
2361 , 700 , 17
2362 , 600 , 8
2363 , 500 , 14
2364 , 400 , 8
2365 , 500 , 11
2366 , 400 , 9
2367 , 400 , 8
2368 , 300 , 6
2369 , 300 , 5
2370 , 600 , 10
2371 , 600 , 9
2372 , 400 , 9
2373 , 400 , 10
2374 , 400 , 8
2375 , 300 , 7
2376 , 500 , 7
2377 , 400 , 11
2378 , 500 , 8
2379 , 300 , 9
2380 , 600 , 12
2381 , 600 , 9
2382 , 300 , 12
2383 , 400 , 11
2384 , 400 , 15
2385 , 300 , 9
2386 , 600 , 14
2387 , 700 , 13
2388 , 500 , 10
2389 , 300 , 8
2390 , 500 , 7
2391 , 600 , 10
2392 , 400 , 9
2393 , 400 , 6
2394 , 800 , 14
2395 , 400 , 12
2396 , 700 , 13
2397 , 500 , 8
2398 , 500 , 12
2399 , 300 , 6
2400 , 800 , 13
2401 , 1500 , 8
2402 , 1000 , 12
2403 , 2400 , 16
2404 , 600 , 11
2405 , 700 , 7
2406 , 1100 , 16
2407 , 600 , 7
2408 , 600 , 8
2409 , 400 , 8
2410 , 600 , 9
2411 , 900 , 9
2412 , 700 , 9
2413 , 800 , 9
2414 , 600 , 11
2415 , 1100 , 14
2416 , 400 , 10
2417 , 600 , 11
2418 , 800 , 7
2419 , 600 , 9
2420 , 500 , 9
2421 , 600 , 9
2422 , 1100 , 15
2423 , 500 , 12
2424 , 500 , 9
2425 , 500 , 8
2426 , 11500 , 13
2427 , 500 , 9
2428 , 500 , 7
2429 , 500 , 9
2430 , 600 , 6
2431 , 600 , 5
2432 , 500 , 11
2433 , 700 , 8
2434 , 1300 , 13
2435 , 300 , 6
2436 , 600 , 8
2437 , 600 , 13
2438 , 600 , 7
2439 , 8600 , 12
2440 , 400 , 10
2441 , 500 , 12
2442 , 600 , 13
2443 , 500 , 10
2444 , 500 , 6
2445 , 700 , 13
2446 , 900 , 7
2447 , 500 , 9
2448 , 700 , 9
2449 , 700 , 6
2450 , 700 , 9
2451 , 700 , 9
2452 , 400 , 7
2453 , 62700 , 11
2454 , 900 , 10
2455 , 500 , 11
2456 , 1200 , 9
2457 , 600 , 6
2458 , 500 , 5
2459 , 800 , 10
2460 , 600 , 10
2461 , 1700 , 11
2462 , 800 , 9
2463 , 700 , 7
2464 , 600 , 6
2465 , 700 , 10
2466 , 600 , 13
2467 , 500 , 9
2468 , 600 , 12
2469 , 700 , 11
2470 , 400 , 7
2471 , 600 , 12
2472 , 800 , 13
2473 , 500 , 11
2474 , 500 , 11
2475 , 500 , 8
2476 , 900 , 9
2477 , 1000 , 13
2478 , 1000 , 14
2479 , 400 , 6
2480 , 500 , 14
2481 , 400 , 11
2482 , 600 , 6
2483 , 700 , 13
2484 , 800 , 9
2485 , 600 , 9
2486 , 600 , 11
2487 , 600 , 12
2488 , 7000 , 10
2489 , 700 , 8
2490 , 400 , 5
2491 , 600 , 6
2492 , 600 , 9
2493 , 700 , 11
2494 , 1000 , 11
2495 , 400 , 7
2496 , 600 , 17
2497 , 600 , 8
2498 , 500 , 9
2499 , 700 , 7
2500 , 900 , 16
2501 , 500 , 13
2502 , 900 , 11
2503 , 500 , 6
2504 , 400 , 4
2505 , 500 , 6
2506 , 400 , 7
2507 , 600 , 12
2508 , 400 , 7
2509 , 800 , 12
2510 , 300 , 5
2511 , 600 , 14
2512 , 400 , 7
2513 , 400 , 12
2514 , 400 , 5
2515 , 700 , 10
2516 , 700 , 11
2517 , 500 , 6
2518 , 900 , 10
2519 , 400 , 6
2520 , 600 , 11
2521 , 600 , 9
2522 , 600 , 13
2523 , 600 , 12
2524 , 500 , 12
2525 , 700 , 12
2526 , 400 , 5
2527 , 600 , 9
2528 , 600 , 8
2529 , 600 , 11
2530 , 800 , 8
2531 , 400 , 6
2532 , 400 , 7
2533 , 400 , 3
2534 , 600 , 12
2535 , 400 , 7
